#{"t_start": 1727524353.952538, "env_id": "BipedalWalker-v3"}
r,l,t
-111.344846,37,12.434577
-114.761356,1600,12.875852
-104.01421,1600,13.608708
-103.486234,1600,14.326105
-105.772329,76,14.347705
-103.197636,1600,15.057464
-100.377703,73,15.079503
-117.928365,58,15.096843
-115.634503,60,15.114758
-104.688109,70,15.135974
-111.436237,49,15.151093
-97.264296,1600,15.861771
-106.599585,58,15.880251
-116.323054,65,15.900076
-108.274195,53,15.916361
-100.520376,1600,16.380209
-88.6356,1600,17.108992
-106.125078,75,17.130671
-102.124923,1600,17.850835
-96.452682,1600,18.597273
-102.467917,55,18.614178
-100.89284,1600,19.339929
-85.402841,1600,19.788726
-101.691749,88,19.813035
-104.662197,92,20.103358
-99.452743,66,20.123869
-100.725479,63,20.143714
-105.315312,60,20.161897
-96.330811,1600,20.61665
-116.419862,534,21.032485
-96.012004,1600,21.487069
-110.935109,59,21.504775
-113.200374,45,21.792428
-103.064565,1600,22.25187
-96.168975,1600,22.995267
-94.392426,1600,23.719933
-83.620734,1600,24.432492
-139.713864,875,24.686777
-100.967243,1600,25.408205
-92.365506,1600,26.118411
-101.01296,1600,26.56566
-98.817104,1600,27.284499
-119.168202,582,27.445498
-125.741239,669,27.901179
-98.418397,1600,28.606702
-96.961344,84,28.631994
-73.358101,1600,29.077554
-99.394767,1600,29.809456
-112.172336,485,29.945183
-85.551525,1600,30.667299
-98.991832,1600,31.376421
-97.852183,1600,32.086958
-97.925786,1600,32.793627
-157.598094,972,33.067733
-96.396937,1600,33.774092
-79.877885,1600,34.478261
-86.956387,1600,34.921981
-84.930218,1600,35.632853
-96.96623,1600,36.349317
-114.298843,520,36.491701
-96.8665,1600,37.209814
-103.396727,348,37.305799
-80.818511,1600,38.011915
-82.910844,1600,38.715468
-96.109647,1600,39.151185
-114.434891,513,39.560727
-108.298681,454,39.68849
-92.218522,1600,40.404382
-77.064872,1600,41.098104
-93.44355,1600,41.539911
-108.855859,41,41.552107
-82.653311,1600,42.26697
-93.406998,1600,42.972131
-76.024474,1600,43.673989
-112.048186,500,43.817072
-101.600775,356,43.914403
-75.75855,1600,44.629147
-120.38228,624,44.798365
-102.050401,337,44.891311
-101.331076,353,44.989029
-103.606521,392,45.364212
-77.579736,1600,45.816672
-102.261477,357,46.198801
-103.153732,57,46.216161
-175.02833,1373,46.592246
-92.70886,1600,47.309296
-100.771804,81,47.331919
-116.108692,60,47.348801
-184.05608,1468,48.01591
-79.630043,1600,48.712176
-119.353142,72,48.733435
-94.662982,1600,49.175441
-111.315049,494,49.579349
