#{"t_start": 1727545860.1016, "env_id": "BipedalWalker-v3"}
r,l,t
-97.898926,130,10.700994
-35.009214,1600,11.129922
-37.372252,1600,11.819804
-43.650032,1600,12.520639
-33.417883,1600,13.218128
-31.467023,1600,13.651931
-22.928826,1600,14.347528
-30.896127,1600,15.059336
-57.709714,1600,15.793418
-56.26053,1600,16.51892
-39.461523,1600,16.981824
-30.559605,1600,17.701959
-46.840617,1600,18.418198
-31.535529,1600,19.128088
-117.980496,911,19.384592
-48.52682,1600,20.072709
-27.343169,1600,20.773205
-13.882735,1600,21.469076
-31.447936,1600,21.912397
-44.955161,1600,22.628079
-34.172527,1600,23.343298
-32.11642,1600,24.045095
-35.015841,1600,24.484854
-35.317035,1600,25.186214
-32.626897,1600,25.88868
-44.734122,1600,26.609616
-37.741884,1600,27.31541
-48.618164,1600,27.745915
-34.595413,1600,28.463091
-44.393972,1600,29.151416
-28.640244,1600,29.832951
-20.934461,1600,30.263158
-37.767058,1600,30.950628
-51.124995,1600,31.646348
-9.272461,1600,32.337287
-25.564661,1600,33.022146
-16.588332,1600,33.449031
-20.551994,1600,34.150429
-23.945339,1600,34.840686
-9.029025,1600,35.5285
-9.81157,1600,35.955324
-12.254723,1600,36.650165
-37.382534,1600,37.366107
-18.857854,1600,38.062305
-37.180226,1600,38.769136
-19.971761,1600,39.204429
-16.366159,1600,39.914254
-41.349597,1600,40.62206
-36.89964,1600,41.32253
-121.608637,96,41.350673
-24.143167,1600,42.036679
-38.22623,1600,42.48764
-39.893635,1600,43.177017
-19.503653,1600,43.867012
-118.749939,1040,44.151881
-44.44047,1600,44.838776
-30.424204,1600,45.546731
-21.515453,1600,46.238751
-26.751254,1600,46.950611
-125.90651,1242,47.312847
-36.409649,1600,48.036665
-39.169981,1600,48.73941
-45.200112,1600,49.158886
-12.456241,1600,49.8559
-20.575327,1600,50.552053
-18.829733,1600,51.243029
-35.460741,1600,51.935913
-5.742727,1600,52.359346
-49.45871,1600,53.045779
-39.024917,1600,53.730487
-118.46807,1071,54.024664
-9.333226,1600,54.716141
-67.484925,1600,55.404666
-61.962038,1600,56.094824
-5.319198,1600,56.782997
-18.052663,1600,57.210457
-14.609636,1600,57.909735
-7.673384,1600,58.599515
-27.65862,1600,59.290802
-114.029251,848,59.531706
-36.423773,1600,60.249173
-25.694424,1600,60.947117
-118.180748,1062,61.245884
-36.86085,1600,61.959927
-9.74085,1600,62.652509
-31.737652,1600,63.362255
-9.795653,1600,63.790532
-13.614439,1600,64.499854
-38.268838,1600,65.216268
-29.224398,1600,65.908503
-31.784132,1600,66.334433
-20.856392,1600,67.034363
-20.827037,1600,67.731097
-36.912563,1600,68.444105
-54.361599,1600,69.126292
-47.338955,1600,69.546482
-31.087704,1600,70.240022
-10.617137,1600,70.931516
-17.617129,1600,71.622579
-39.132933,1600,72.052066
-117.820183,1080,72.621071
-30.858599,1600,73.331616
-13.094984,1600,74.017427
-32.754848,1600,74.454051
-33.449219,1600,75.163831
-38.381991,1600,75.853444
-33.684378,1600,76.556703
-20.5211,1600,76.984946
-33.894928,1600,77.694209
-16.702726,1600,78.397369
-14.002166,1600,79.09419
-33.469743,1600,79.814211
-13.565426,1600,80.242557
-26.15402,1600,80.938691
-12.779709,1600,81.634241
-14.152022,1600,82.339249
-10.63292,1600,83.02728
-46.943572,1600,83.453901
-40.377592,1600,84.137274
-18.393854,1600,84.836902
-28.976782,1600,85.547923
-15.569672,1600,85.976804
-13.109556,1600,86.684492
-29.660804,1600,87.396463
-17.918496,1600,88.091835
-15.053683,1600,88.777435
-6.561855,1600,89.214121
-29.121277,1600,89.922402
-122.935215,1355,90.573317
-12.900551,1600,91.259628
-110.129793,831,91.498322
-14.826166,1600,92.191855
-27.659507,1600,92.898177
-26.219736,1600,93.337841
-11.752739,1600,94.033834
-4.644457,1600,94.739672
-25.947691,1600,95.475146
-27.422509,1600,95.91797
-26.590958,1600,96.636648
-9.662163,1600,97.336795
-27.428086,1600,98.046219
-25.812081,1600,98.766062
-14.969647,1600,99.221065
-5.597925,1600,99.916743
-10.981318,1600,100.62194
-5.519948,1600,101.315701
-11.491235,1600,101.751667
-17.233427,1600,102.45329
-29.318406,1600,103.167168
-21.688892,1600,103.867986
-19.847815,1600,104.573166
-6.711756,1600,105.022073
-17.834674,1600,105.714154
-5.266319,1600,106.408856
-31.510992,1600,107.10649
-105.561589,629,107.288043
-31.787653,1600,108.02214
-109.614571,742,108.231279
-37.297312,1600,108.938153
-37.903239,1600,109.669465
-30.16066,1600,110.384727
-30.468621,1600,110.83419
-7.832559,1600,111.54946
-9.868942,1600,112.242711
-26.201483,1600,112.954335
-7.992931,1600,113.381154
-29.877454,1600,114.092652
-17.093748,1600,114.800689
-49.144706,1600,115.542349
-43.514067,1600,116.253985
-45.47851,1600,116.719273
-43.336153,1600,117.430317
-40.771126,1600,118.157696
-37.39436,1600,118.875311
-48.500964,1600,119.334664
-29.309147,1600,120.0601
-35.094621,1600,120.778241
-33.475844,1600,121.503181
-39.834095,1600,122.232217
-36.191748,1600,122.703459
-29.183883,1600,123.446879
-34.584853,1600,124.171413
