#{"t_start": 1727523609.460139, "env_id": "BipedalWalker-v3"}
r,l,t
-104.617736,59,21.610253
-112.430975,86,21.654071
-105.395986,1600,22.397543
-92.863538,1600,23.133821
-106.077138,28,23.148333
-121.063616,115,23.201724
-118.416049,105,23.251744
-110.795046,73,23.286349
-113.942894,79,23.322333
-111.501571,59,23.35035
-109.081903,51,23.374406
-181.753905,1358,24.000179
-68.828036,1600,24.730927
-104.772352,81,24.768065
-105.948667,49,24.791217
-102.844129,79,24.828527
-106.456858,60,24.856367
-104.42147,53,24.881272
-103.263348,66,24.913038
-101.612222,81,24.951263
-102.234563,62,24.980322
-99.701175,81,25.019868
-99.911627,90,25.064407
-105.7336,282,25.200605
-132.650315,593,25.480502
-105.09916,56,25.508168
-134.907218,697,25.832698
-97.934519,62,25.861995
-102.82795,53,25.887613
-102.920691,55,25.914169
-113.918382,67,25.945343
-101.214855,66,25.976816
-115.593781,74,26.011248
-99.816822,63,26.041447
-103.874992,112,26.092278
-96.379336,84,26.131803
-113.899633,79,26.168858
-99.584277,141,26.233587
-143.9859,685,26.549725
-103.759398,101,26.596472
-117.452258,101,26.643436
-98.048161,1600,27.372354
-100.861804,77,27.408685
-100.303067,135,27.470623
-98.04847,108,27.520222
-101.817077,61,27.549188
-127.094003,640,27.845875
-97.718244,59,27.873818
-101.571984,60,27.90196
-101.325286,1600,28.630073
-134.874585,759,28.978425
-100.121959,54,29.006134
-167.222655,1147,29.524559
-101.964359,99,29.569154
-126.244909,363,29.736071
-103.429032,41,29.755779
-104.038185,54,29.780994
-102.520888,46,29.803561
-102.862753,42,29.82433
-102.666916,47,29.846329
-108.720383,263,29.968634
-118.820339,69,29.999829
-101.880874,56,30.026413
-97.184071,195,30.114262
-97.394905,87,30.156474
-102.990162,48,30.179915
-165.593043,1421,30.819018
-105.500942,130,30.878271
-103.598905,58,30.905083
-102.96406,165,30.980284
-103.759428,100,31.025927
-102.107873,84,31.066403
-100.918354,83,31.104626
-112.724036,374,31.277103
-99.37946,64,31.307792
-103.975751,106,31.357476
-118.711648,397,31.535807
-101.470724,56,31.562292
-103.422686,236,31.669308
-121.420568,504,31.898682
-108.824066,634,32.187423
-101.399015,81,32.225323
-104.69024,128,32.285159
-102.50949,155,32.355303
-104.870892,70,32.388043
-100.907531,97,32.434602
-104.621409,70,32.467603
-99.200498,61,32.496531
-102.024641,50,32.520429
-104.080233,52,32.545236
-101.020358,89,32.586332
-106.216096,323,32.73425
-105.206747,60,32.762094
