#{"t_start": 1727522183.255062, "env_id": "BipedalWalker-v3"}
r,l,t
-103.377376,90,22.319072
-103.465665,71,22.344028
-108.789223,109,22.372988
-106.299936,1600,22.80636
-103.876215,124,22.841327
-104.146239,113,23.133752
-100.66816,103,23.164417
-127.011999,1600,23.610596
-111.324072,47,23.624443
-104.807259,101,23.651858
-102.371245,1600,24.367235
-103.361378,1600,25.084546
-99.325399,77,25.106616
-99.553078,76,25.128336
-117.836419,1600,25.850665
-105.058137,82,25.87423
-98.579287,92,25.899891
-122.488947,67,25.918918
-133.444889,163,25.962645
-101.903019,59,25.97962
-118.919716,60,25.996466
-119.323304,87,26.020836
-104.532206,75,26.042213
-108.715411,85,26.066136
-122.227627,1600,26.7736
-118.549969,81,26.796422
-104.344705,61,26.814229
-120.27609,100,26.842509
-111.959015,74,26.863052
-120.610639,69,26.882504
-111.685362,98,26.909614
-102.446601,98,26.937375
-149.847445,366,27.039921
-87.918457,1600,27.760494
-103.232474,106,27.789836
-103.688562,82,27.813204
-119.587429,190,27.86463
-109.380934,39,27.875902
-122.259731,79,27.897583
-113.723347,74,28.177095
-102.122843,1600,28.622044
-108.478062,58,28.638773
-123.038958,112,28.669748
-152.954794,579,29.099718
-179.409968,1131,29.421617
-100.422824,76,29.443839
-175.504649,1550,30.149293
-102.722193,47,30.163006
-110.582039,1600,30.882315
-109.748594,51,30.897363
-103.861618,109,30.928263
-111.927382,1600,31.626902
-101.934004,88,31.654192
-115.566338,66,31.673567
-131.476188,1600,32.400132
-102.162348,81,32.424736
-105.199425,65,32.444284
-123.765228,614,32.621553
-107.56395,1600,33.336449
-111.76421,465,33.468893
-103.133755,1600,34.173553
-125.964747,631,34.352
-102.414341,51,34.366913
-120.530512,161,34.411014
-105.746844,113,34.442431
-112.279361,55,34.458153
-105.220367,145,34.497419
-136.837483,829,34.996295
-183.757501,1077,35.298831
-111.506877,82,35.321585
-106.502821,1600,36.032242
-118.140697,579,36.190718
-111.720202,150,36.232608
-107.645418,393,36.598529
-130.648805,684,36.797719
-138.293338,137,36.835059
-108.554138,410,36.948368
-64.906203,1600,37.650718
-102.495276,1600,38.365094
-103.660082,1600,39.053333
-101.927946,1600,39.505224
-123.275387,78,39.527481
-104.977347,78,39.549116
-100.701462,1600,40.260283
-94.454109,1600,40.974543
-173.642901,743,41.179275
-91.928748,1600,41.893124
-113.807175,45,41.906445
-112.283447,81,41.929064
-114.513991,82,41.951842
-119.219084,89,41.976761
-171.486621,672,42.415774
-113.911667,51,42.431741
-228.322671,1471,42.846099
-116.608278,62,42.863871
-120.061658,1600,43.572237
-110.054015,418,43.687154
-122.141187,1600,44.404145
-101.74653,65,44.423559
-105.461778,382,44.528424
-114.484636,48,44.542455
-109.109497,39,44.55403
-115.043459,507,44.951763
-125.59658,133,44.990641
-121.731206,82,45.015022
-100.811313,1600,45.457644
-116.461413,51,45.73039
-111.119788,813,45.959689
-102.454965,1600,46.661502
-89.898424,1600,47.095026
-164.899499,1484,47.758956
-111.962571,60,47.776035
-85.842667,1600,48.487266
-90.787825,1600,49.192504
-120.048156,64,49.212003
-100.821311,83,49.237113
-140.10615,1570,49.928885
-90.804696,1600,50.371466
-110.867312,589,50.793347
-105.596375,387,50.903954
-129.044229,85,50.927541
-88.589852,1600,51.632038
-88.831536,1600,52.06708
-85.740379,1600,52.769332
-101.633812,328,52.858339
-98.64525,72,52.878825
-62.738571,1600,53.57272
-86.985516,1600,54.275205
-60.765649,1600,54.967576
-98.134812,295,55.050195
-98.689964,274,55.12536
-100.039495,297,55.206539
-102.351264,1600,55.911498
-101.87231,1600,56.629959
-101.392043,329,56.722155
-56.979167,1600,57.416476
-90.718974,1600,58.10471
-92.154198,198,58.164743
-97.045698,276,58.244614
-84.795183,1600,58.935491
-177.258839,1570,59.374279
-98.593493,273,59.448896
-95.458777,267,59.779775
-140.4038,801,60.009196
-84.786726,1600,60.715156
-107.84849,426,60.834913
-84.300695,1600,61.545591
-123.649403,1239,61.882866
-84.77781,1600,62.583796
-94.032538,208,62.641275
-117.224208,999,63.173734
-110.259841,42,63.186971
-83.511266,1600,63.627115
-40.845647,1600,64.335737
-97.381215,1600,65.053711
-41.694709,1600,65.757119
-79.315983,1600,66.455314
-98.250827,290,66.539888
-103.811792,348,66.636998
-137.427012,1536,67.310558
-97.421465,622,67.484262
-80.837642,1600,68.182271
-57.62405,1600,68.873882
-95.083674,1600,69.317608
-99.474579,313,69.40295
-101.919106,889,69.907067
-96.424649,229,69.970329
-107.410903,1157,70.540864
-93.049121,1011,70.826958
-82.757423,1600,71.522939
-97.40785,267,71.596306
-97.394715,272,71.67094
-146.628736,739,71.870496
-72.266695,1600,72.573884
-111.64066,759,73.040659
-72.845103,1600,73.47438
-96.702325,398,73.843687
-76.507611,1600,74.283621
-99.470871,270,74.615772
-130.222283,496,74.757307
-106.048266,788,74.968956
-76.426609,1600,75.66717
-93.809978,215,75.726106
-95.337974,1600,76.435457
-94.037102,1600,77.13634
-90.905475,1600,77.579597
-96.11095,245,77.900873
-91.589349,1600,78.352051
-95.387202,240,78.418515
-67.131961,1600,79.118262
-61.815839,1600,79.809462
-120.76283,53,79.824693
-88.871187,1600,80.53201
-91.032528,1600,81.237174
-81.606506,1600,81.67856
-123.136582,113,81.709235
-68.113196,1600,82.409346
-95.817818,250,82.47807
-85.530124,1600,83.171676
-152.639616,1343,83.791973
-99.077439,291,83.875405
-158.474268,1400,84.507249
-86.585493,1600,84.942921
-95.0155,202,84.998741
-91.761862,208,85.311722
-69.448592,1600,85.754095
-65.031892,1600,86.451768
-94.882546,230,86.514222
-97.257284,269,86.587803
-93.684031,209,86.645485
-129.28407,1210,87.235639
-96.818791,287,87.314542
-101.214613,556,87.463258
-100.849145,350,87.816483
-89.092288,1600,88.267096
-74.625088,1600,88.981271
-93.99333,394,89.088714
-120.079243,819,89.575171
-54.938689,1600,90.268473
-35.337157,1600,90.705393
-96.604082,252,90.774116
-60.600942,1600,91.468221
-58.008255,1600,92.170884
-99.1142,253,92.240368
-97.552113,412,92.351044
-95.916827,241,92.416693
-89.557735,1600,93.124081
-81.466353,1600,93.816966
-93.241288,222,93.87879
-98.700169,293,93.959369
-102.470928,1065,94.510541
-86.195098,1600,95.210207
-98.463906,278,95.290968
-65.531395,1600,95.981368
-73.437227,1600,96.425644
-86.549582,1600,97.135319
-96.119186,256,97.205431
-58.194284,1600,97.903419
-125.157488,151,97.944515
-85.121702,1600,98.651598
-92.964369,230,98.716005
-56.416259,1600,99.408279
-84.555536,1600,100.111342
-98.603254,286,100.194949
-90.772271,192,100.251084
-98.478657,276,100.330521
-84.282766,1600,101.030797
-93.146467,202,101.089666
-92.065414,345,101.186501
-95.612063,252,101.254689
-95.808788,245,101.320641
-95.262203,246,101.387882
-23.750053,1600,102.081857
-91.131887,171,102.129248
-71.756392,1600,102.821984
-95.424918,230,102.885896
8.990964,1600,103.580092
-100.9087,114,103.614069
-94.788796,232,103.678704
-102.571924,1070,104.226
-94.20443,236,104.296152
-80.894471,1600,104.745626
-97.987528,292,105.087061
-60.27737,1600,105.533414
-93.799024,213,105.592364
-99.081022,267,105.925949
-88.988432,348,106.026037
-80.351911,1600,106.729389
-79.224733,1600,107.186893
-66.590283,1600,107.885915
-20.339079,1600,108.586656
-93.668896,224,108.648948
-67.630762,1600,109.346415
-47.823913,1600,110.04376
-91.850539,215,110.108562
-62.385322,1600,110.554523
-53.751371,1600,111.265715
-62.829237,1600,111.959629
-75.47802,1600,112.673917
-97.298118,1045,112.959467
-73.300645,1600,113.679588
-59.417055,1600,114.384011
-77.455527,1600,115.085065
-66.42243,1600,115.528432
-50.656403,1600,116.233978
-38.871208,1600,116.941039
-89.30575,175,116.989276
-55.171052,1600,117.705897
-76.471669,1600,118.420091
-52.042688,1600,118.872872
-130.390654,1060,119.425546
-55.670351,1600,120.13044
-83.64753,1600,120.582402
-90.990486,555,120.997455
-91.158583,165,121.047857
-47.607419,1600,121.748602
-89.098524,191,121.805213
-77.384246,674,121.996501
-161.488268,1539,122.675274
-27.101026,1600,123.370236
-121.780616,101,123.39968
-93.309748,218,123.463651
-113.213345,808,123.686334
-61.513657,1600,124.39778
-112.595965,1189,124.713707
-104.264306,1096,125.289869
-121.029993,88,125.314234
-65.384844,1600,126.026696
-76.546512,1600,126.736793
-76.970635,1600,127.204238
-95.064526,105,127.233064
-95.534365,245,127.556447
-77.689828,1600,128.022113
-95.002059,238,128.088716
-77.003298,1600,128.813008
-90.202418,177,128.863008
-92.119645,213,128.922093
-83.544571,1600,129.635076
-94.581998,210,129.693527
-79.054446,1600,130.408525
-120.119005,64,130.426967
-121.973697,94,130.453278
-91.200251,181,130.503359
-121.089509,94,130.529016
-43.572037,1600,131.249877
-36.566044,1600,131.951316
-75.553793,1600,132.659668
-10.506883,1600,133.09998
-90.262375,188,133.408101
-72.356311,1600,133.860674
-75.13398,1600,134.577565
-40.396453,1600,135.275181
-72.656627,1600,135.985218
-121.945991,98,136.013841
-51.680908,1600,136.468566
-90.438627,552,136.885138
-97.314559,1600,137.578745
-162.865106,1484,137.990221
-115.514167,59,138.007162
-121.460982,97,138.033809
-113.187343,733,138.496603
-90.747663,184,138.549955
-69.734513,1600,139.261018
-171.012885,1590,139.698797
-88.916955,180,139.748643
-48.908754,1600,140.454404
-45.672464,1600,141.16102
-90.401339,189,141.21324
-115.554977,1200,141.795275
-70.816226,1600,142.25259
-93.104078,202,142.56505
-52.780521,1600,143.017688
-81.704514,1600,143.724195
-93.160961,216,143.784248
-111.355294,52,143.799419
-120.655982,94,143.825182
8.456298,1600,144.523124
-130.738443,1495,145.204135
-48.540304,1600,145.900056
-59.561028,1600,146.350251
-49.907641,1600,147.066052
-50.287572,1600,147.764975
-61.909923,1600,148.449603
-98.793839,283,148.534394
-97.84818,277,148.611255
-162.317701,1530,149.280475
-96.535809,263,149.35875
-101.303312,339,149.451247
-58.665966,1600,150.15361
-61.783628,1600,150.861124
-67.668694,1600,151.329167
-54.048612,1600,152.045947
-66.971424,1600,152.770469
-68.652608,1600,153.497198
-156.782626,1463,153.897979
-99.233623,322,154.243322
-119.849954,90,154.270091
-121.523309,109,154.302124
-64.488788,1600,154.759999
-117.925038,77,154.781293
-91.532423,206,155.098019
-96.793686,296,155.184229
-65.178132,1600,155.899174
-93.075338,229,155.967399
-66.031568,1600,156.433938
-92.979775,212,156.748903
-148.516557,1203,157.087912
-90.628441,196,157.14136
-87.543468,323,157.228634
-65.229967,1600,157.934169
-90.724751,198,157.989374
-78.163527,538,158.133662
-94.895931,244,158.460503
-76.158796,1600,158.909846
-96.443467,275,159.242396
-49.906933,1600,159.700691
-94.878381,248,159.768529
-59.42066,1600,160.465229
-63.359562,1600,161.191335
-62.131925,1600,161.910882
-90.89997,189,161.966488
-117.452401,929,162.215663
-56.104149,1600,162.938599
-94.249412,475,163.065715
-57.030296,1600,163.782442
-50.2618,1600,164.495104
-90.536641,194,164.549295
-60.702921,1600,165.265874
-77.178831,1600,165.965792
-51.727416,1600,166.424401
-57.769959,1600,167.150847
-90.944246,199,167.205996
-99.467833,372,167.305841
-70.901352,1600,168.007667
-88.809033,169,168.055215
-88.925725,178,168.105711
-98.193757,538,168.525727
-58.929955,1600,168.967514
-54.357365,1600,169.690074
-92.95184,222,169.750499
-55.425228,1600,170.483859
-83.100602,1600,171.185488
-51.487976,1600,171.891815
-116.146673,1600,172.333657
-56.54067,1600,173.054604
-89.119759,204,173.11055
-52.878672,1600,173.811992
-90.181188,192,173.865505
-88.510293,184,173.917434
-90.772163,208,173.975342
-53.255284,1600,174.690246
-92.872741,227,174.751886
-41.418449,1600,175.472716
-75.112113,1600,176.173357
-46.1658,1600,176.875169
-81.896257,1600,177.314016
-93.732319,1600,178.016697
-89.982943,199,178.071214
-48.701804,1600,178.768845
-116.065517,73,178.789057
-48.692241,1600,179.49407
-74.740956,1600,180.197163
-78.243872,1600,180.643247
-95.621917,291,180.989339
-81.069383,1600,181.439791
-51.157122,1600,182.162051
-67.644529,1600,182.856483
-96.288524,307,182.944548
-61.576761,1600,183.636394
-103.024701,374,183.743497
